date,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_10m_previous_day3,wind_speed_10m_previous_day4,wind_speed_10m_previous_day5,wind_speed_10m_previous_day6,wind_speed_10m_previous_day7,rain,rain_previous_day1,rain_previous_day2,rain_previous_day3,rain_previous_day4,rain_previous_day5,rain_previous_day6,rain_previous_day7
2025-05-24 05:00:00,13.2805,12.9305,12.4935,12.8935,10.9435,10.904,12.6,12.3139,8.91318,6.91537,8.40429,6.98994,0.509117,12.3244,2.5,0.4,1.7,0.4,1.0,0.0,0.0,0.0
2025-05-24 06:00:00,13.5805,13.2805,13.7935,14.4935,12.4435,11.454,16.0755,13.5515,11.682,12.5949,8.14587,6.79247,1.60997,12.2876,0.4,0.0,0.3,0.3,0.0,0.0,0.4,0.0
2025-05-24 07:00:00,14.3805,14.0305,14.7935,15.5935,12.6435,12.454,12.5949,12.1016,16.9238,17.3175,8.71468,7.9933,1.13842,12.5381,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.1
2025-05-24 08:00:00,15.8305,15.1805,15.7935,16.5935,12.9435,13.754,17.7279,15.63,15.63,16.7352,9.58574,9.95711,0.804985,12.7381,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.1
2025-05-24 09:00:00,16.3805,16.3305,17.0435,17.7935,13.4935,14.954,15.9785,19.1343,17.5553,18.1755,10.8837,11.7208,0.804985,13.3249,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1
2025-05-24 10:00:00,17.7305,17.4305,17.8935,19.2935,14.5435,16.054,16.9468,16.677,16.8625,16.2798,12.7686,12.7279,1.8,14.2916,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1
2025-05-24 11:00:00,18.7805,18.8305,19.2435,20.8935,15.8435,17.104,18.2147,21.1299,19.063,18.6437,15.282,13.494,4.39436,15.5302,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
2025-05-24 12:00:00,19.3305,19.7805,20.8435,21.8935,16.7435,13.554,17.2274,19.9954,20.6177,17.4628,13.5849,15.034,17.5811,17.0573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2025-05-24 13:00:00,20.2305,20.5305,21.2935,22.7435,17.3435,13.854,19.6522,21.4344,19.4866,19.8294,14.6896,15.5093,17.1028,17.0725,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2
2025-05-24 14:00:00,20.5805,20.4805,21.6435,23.2435,18.1435,14.304,20.2754,21.4344,19.212,20.8986,15.5801,15.9906,16.2,16.9238,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2
2025-05-24 15:00:00,19.8805,21.1805,21.9935,22.9935,18.5435,14.804,17.8118,21.3222,20.3456,21.2674,16.2997,15.9135,15.576,16.4894,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2
2025-05-24 16:00:00,20.2305,20.3305,19.6935,21.8435,18.1435,15.254,19.1376,18.5845,17.5331,21.8979,16.2917,14.2916,15.2777,15.9135,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
2025-05-24 17:00:00,20.0805,19.8305,18.5935,20.5435,17.3435,15.754,18.3317,17.1142,17.1935,17.3772,16.0554,11.7208,15.1927,15.3074,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1
2025-05-24 18:00:00,18.9805,19.1805,18.1935,18.1935,16.2435,16.004,15.3159,16.9659,15.9785,14.5299,17.6106,10.1951,14.9042,15.0038,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1
2025-05-24 19:00:00,18.8805,18.7305,16.7935,17.4935,15.6935,16.004,14.3369,16.1198,12.6,14.3369,17.7133,11.1832,14.6896,15.0038,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.2
2025-05-24 20:00:00,17.7305,17.7305,16.1435,16.8435,15.1935,15.854,16.5483,15.5468,13.5132,14.5299,18.079,13.5276,14.4808,15.4967,0.0,0.0,0.1,0.0,0.7,0.0,0.3,0.2
2025-05-24 21:00:00,16.3805,16.8805,15.8435,16.3435,14.8935,15.504,17.3175,15.7908,12.4967,15.3497,18.172,14.6896,14.1869,15.4967,0.0,0.0,0.1,0.0,1.1,0.0,0.3,0.2
2025-05-24 22:00:00,16.0805,16.1805,15.5435,15.7935,14.8435,15.004,17.3175,15.7908,13.7462,17.6106,18.2786,14.4045,13.2761,15.1884,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1
2025-05-24 23:00:00,15.7805,15.8305,15.2935,15.6435,14.9435,14.354,14.7995,16.2997,15.0211,16.0392,17.7827,15.1414,11.9886,14.694,0.2,0.0,0.0,0.1,0.3,0.0,0.3,0.1
